地名,センター,もやせるごみ,大型可燃ごみ,もやせないごみ,缶ビン食品トレイ,古紙古着,ペットボトル
千里丘１～２丁目,ごみ収集,月 木,木1,水1 水3,火2 火4,水2,火1 火3
千里丘３丁目１～７番、１５～１６番,ごみ収集,月 木,木1,水1 水3,火2 火4,水2,火1 火3
千里丘東１～２丁目,ごみ収集,月 木,木1,水1 水3,火2 火4,水2,火1 火3
千里丘３丁目８番～１４番,ごみ収集,月 木,木1,水1 水3,火2 火4,水2,金1 金3
千里丘４～７丁目,ごみ収集,月 木,木1,水1 水3,火2 火4,水2,金1 金3
千里丘東３～５丁目,ごみ収集,月木,木1,水1 水3,金2 金4,水2,火1 火3
庄屋１～２丁目,ごみ収集,月 木,木1,水1 水3,金2 金4,水2,金1 金3
南千里丘,ごみ収集,月 木,木1,水1 水3,金2 金4,水2,金1 金3
三島３丁目１４番,ごみ収集,月 木,木1,水1 水3,金2 金4,水2,金1 金3
正雀本町１～２丁目,ごみ収集,月 木,木1,水1 水3,火1 火3,水4,火2 火4
正雀１～２丁目,ごみ収集,月 木,木1,水1 水3,火1 火3,水4,火2 火4
正雀３～４丁目,ごみ収集,月 木,木1,水1 水3,火1 火3,水4,金2 金4
三島１～２丁目,ごみ収集,月 木,木1,水1 水3,火1 火3,水4,金2 金4
三島３丁目（１４番除く）,ごみ収集,月 木,木1,水1 水3,火1 火3,水4,金2 金4
桜町１～２丁目,ごみ収集,月 木,木1,水1 水3,金1 金3,水4,火2 火4
学園町１～２丁目,ごみ収集,月 木,木1,水1 水3,金1 金3,水4,火2 火4
鶴野町１～４丁目,ごみ収集,月 木,木1,水1 水3,金1 金3,水4,火2 火4
香露園,ごみ収集,月 木,木1,水1 水3,金1 金3,水4,金2 金4
昭和園,ごみ収集,月 木,木1,水1 水3,金1 金3,水4,金2 金4
北別府町,ごみ収集,火 金,金1,水2 水4,月2 月4,水1,月1 月3
浜町,ごみ収集,火 金,金1,水2 水4,月2 月4,水1,月1 月3
東別府１～５丁目,ごみ収集,火 金,金1,水2 水4,月2 月4,水1,月1 月3
別府１～３丁目,ごみ収集,火 金,金1,水2 水4,月2 月4,水1,木1 木3
南別府町,ごみ収集,火 金,金1,水2 水4,木2 木4,水1,月1 月3
西一津屋,ごみ収集,火 金,金1,水2 水4,木2 木4,水1,月1 月3
一津屋１～３丁目,ごみ収集,火 金,金1,水2 水4,木2 木4,水1,月1 月3
鳥飼和道１～２丁目,ごみ収集,火 金,金1,水2 水4,木2 木4,水1,木1 木3
東一津屋,ごみ収集,火 金,金1,水2 水4,木2 木4,水1,木1 木3
新在家１～２丁目,ごみ収集,火 金,金1,水2 水4,木2 木4,水1,木1 木3
鳥飼八防１丁目,ごみ収集,火 金,金1,水2 水4,木2 木4,水1,木1 木3
鳥飼八防１丁目,ごみ収集,火 金,金1,水2 水4,木2 木4,水1,木1 木3
鳥飼八防２丁目（８～９番除く）,ごみ収集,火 金,金1,水2 水4,木2 木4,水1,木1 木3
鳥飼西５丁目３～４番,ごみ収集,火 金,金1,水2 水4,木2 木4,水1,木1 木3
鳥飼西１～４丁目,ごみ収集,火 金,金1,水2 水4,月1 月3,水3,月2 月4
鳥飼西５丁目（３～４番除く）,ごみ収集,火 金,金1,水2 水4,月1 月3,水3,月2 月4
鳥飼八防２丁目８～９番,ごみ収集,火 金,金1,水2 水4,月1 月3,水3,月2 月4
鳥飼野々１～３丁目,ごみ収集,火 金,金1,水2 水4,月1 月3,水3,木2 木4
鳥飼本町１～５丁目,ごみ収集,火 金,金1,水2 水4,月1 月3,水3,木2 木4
鳥飼下１～３丁目,ごみ収集,火 金,金1,水2 水4,木1 木3,水3,木2 木4
鳥飼中１～３丁目,ごみ収集,火 金,金1,水2 水4,木1 木3,水3,木2 木4
鳥飼新町１～２丁目,ごみ収集,火 金,金1,水2 水4,木1 木3,水3,月2 月4
鳥飼銘木町,ごみ収集,火 金,金1,水2 水4,木1 木3,水3,月2 月4
鳥飼上１～５丁目,ごみ収集,火 金,金1,水2 水4,木1 木3,水3,月2 月4
鳥飼八町１～２丁目,ごみ収集,火 金,金1,水2 水4,木1 木3,水3,月2 月4
